Count		Words
جسٹس		9
عائشہ		6
ملک		18
سپریم		23
کورٹ		25
تعیناتی		22
پر		29
اعتراض		2
کیوں
		1
جمعرات		1
6		2
جنوری		2
کوجوڈیشل		1
کمیشن		10
آف		5
پاکستان		27
کی		158
طرف		8
سے		98
لاہور		1
ہائیکورٹ		7
میں		149
تعینات		1
سفارش		1
کے		185
بعد		8
اب		8
ان		17
کا		80
معاملہ		2
حتمی		1
منظوری		3
لیے		5
ججوں		3
تقرری		1
بارے		3
پارلیمانی		2
کمیٹی		5
سامنے		7
رکھا		2
جائے		12
گا۔یاد		1
رہے		16
لئے		21
پانچ		6
اراکین		2
نے		48
حمایت		1
کی۔		1
جبکہ		10
دیگر		6
چار		2
مخالفت		1
کی۔اگر		1
بھی		39
جوڈیشل		2
سفارشات		4
توثیق		1
کردی		1
تو		21
وزیراعظم		1
اور		99
صدر		2
بعدجسٹس		1
پاکستانی		4
تاریخ		1
پہلی		2
جج		10
بن		6
جائیں		4
گی۔یاد		1
بار		10
کونسل		3
جانب		9
کو		45
تمام		6
وکلاء		4
عدالتوں		3
بائیکاٹ		3
درخواست		2
گئی		6
تھی		14
بہت		8
مقامات		1
خلاف		4
پیش		4
نہ		12
ہوکر		2
اپنا		3
احتجاج		3
ریکارڈ		2
کروایا		1
تھا۔		3
سی		2
نمائندہ		1
کونسلز		1
جونئیر		5
ججز		11
seniority		3
principle		3
Al		2
Jehad		2
Trust		2
Case		2
ورزی		2
قرار		1
دے		4
رہی		6
ہیں۔		12
عمل		5
یہ		22
بات		4
ہی		19
زیادہ		15
واضح		6
طور		4
آئی		4
کہ		39
صرف		9
بلکہ		5
درمیان		1
اختلاف		2
پایا		1
جاتا		5
ہے۔ایک		3
جماعت		2
نزدیک		2
ہے		60
دوسری		3
آئین		8
کسی		19
جونیئر		1
کوئی		13
قدغن		1
نہیں		41
ہے۔آیئے		1
قانون		2
ادنیٰ		2
طالب		2
علم		3
حیثیت		3
طرفین		1
پائے		2
جانے		7
والے		12
اس		44
کوآئین		1
روشنی		1
پرکھنے		1
کوشش		1
کرتے		8
Article		6
175-A		3
177		2
تحت		3
آتی		3
ہے۔آئین		1
175-Aکے		1
مطابق		6
کورٹ،		1
ہائیکورٹس		1
وفاقی		3
شرعی		1
عدالت		1
ایک		38
آئینی		5
ادارہ		2
جسے		3
Judicial		1
Commission		1
of		4
Pakistan		1
کہا		12
ہے۔		16
ادارے		5
کام		9
اپنی		13
مرتب		3
کرکے		4
پارلیمنٹ		1
بھجوانا		1
ہوتا		7
حوالہ		4
تشکیل		1
اسکے		2
ممبران		2
کل		2
تعداد		5
9		2
افراد		6
مشتمل		3
ہوتی		6
چیف		5
چیرمین،		1
04		1
سینئر		4
ترین		6
سابقہ		2
یا		9
پھر		4
01		4
جج،		2
علاوہ		2
وزیر		5
قانون،		2
اٹارنی		1
جنرل		1
کونس		1
نامزد		1
وکیل		3
شامل		4
ہوتے		5
اکثریتی		1
فیصلہ		2
بناء		1
کرتا		3
ہے۔سپریم		1
درج		3
بالا		4
جسٹس،		1
صوبائی		1
کیا		11
آئیے		1
جس		14
ٹائٹل		1
یعنی		5
Appointment		1
Supreme		2
Court		2
Judges۔		1
آرٹیکل		4
مطابق:		1
دوسرے		3
ہر		8
تقرر		1
175A		1
کرے		2
گا۔		2
شخص		2
مقرر		1
گا		4
جب		11
تک		9
وہ		26
شہری		1
ہو۔اور		1
ہائی		13
کم		12
از		4
سال		13
رہے۔کم		1
پندرہ		1
رہے۔اسی		1
طرح		7
(3)		2
تحت:		1
the		4
President		1
shall		1
appoint		1
most		1
senior		1
Judge		1
as		1
Chief		1
Justice		1
Pakistan۔معزز		1
وکلا		2
ء		4
حضرات		2
دیا		8
یاد		2
مقدمہ		1
1996		1
مشہور		1
زمانہ		1
18ویں		1
19		1
ویں		1
ترامیم		1
جوکہ		1
2010		1
ہوئیں		1
قسم		6
ابہام		1
دُورکردیا		1
گیا		6
آرٹیکلزکے		1
مطالعہ		1
چیز		2
تعینانی		1
والی		6
کہیں		2
نظر		5
آتی۔یاد		1
وقت		11
اُصول		1
لاگو		1
ہے۔اور		1
کیسے		2
ممکن		4
جو		9
خود		4
غیر		4
سرانجام		1
دے۔		1
جاننے		1
قاصر		1
ہوں		2
مبہم		1
ہدایات		1
موجود		9
ہیں		34
توپھر		2
معزز		1
معاملے		1
کرنا		3
کیوں		2
شروع		1
کردیتے		1
دن		2
عدالتی		2
